SPMNKEY,AccNum,SPECID,forma,LatinName,Herb,Collectors,Coll. #,Day,Month,Yr,TEXTDATE,Habitat,Abundance,County,Prov_State,Country,Locality,NB,SOURCE,LOAN,UTMZ,UTME,UTMN,LATDEG,LATMIN,LATSEC,LATDIR,LONGDEG,LONGMIN,LONGSEC,LONGDIR,Projection,Prec.,Grid Ref.,GeoRefBy,Phenology,Collection id,DetAnnList,Notes,Creation Date,Modification Date,Comments,Databaser,Access#Form,Coll#Form,DateForm,Co.Form,utmform,Det BY,Nform,Wform,HabitatForm,LocalForm,NotesForm,CheckDuplicates,LatDec,LatForm,LongDec,LongForm,FormaForm,AbunForm,RareLoc,Rare Lat,Rare Long,Include,CheckFind,Labeled,Correct SpmNumb,SPMNKEYold,DETERMINER,Digital Lat,Digital Long,latinForm,count,specimen count,DigitalLatFORM,DigitalLongFORM
64504,62980,,,,UNB,"MacLean, D.A.; Wein, R.W; McKay, W.H.",171,,,1973,,,,Gloucester,New Brunswick,Canada,"Site 80 (=site 7) Allardville, Fire Study",,,,,,,47.37,,,N,65.25,,,W,,2,,Collector,No reproductive structures seen on specimen,2,,Amelanchier sp.,2011-07-01,2015-07-08,To be identified,shortt,   Accession # 62980,Collector's # 171,00/00/1973/,Gloucester Co.,,,N,W,,"Locality:  Site 80 (=site 7) Allardville, Fire Study. ",Notes:  Amelanchier sp..,Duplicate,47.37,47.37º N ,65.25,65.25º W,,,"Site 80 (=site 7) Allardville, Fire Study",47.37,65.25,,,,,64504,,,,,56985,56985,,
64505,62981,,,,UNB,"MacLean, D.A.; Wein, R.W; McKay, W.H.",172,,,1973,,,,Gloucester,New Brunswick,Canada,"Site 80 (=site 7) Allardville, Fire Study",,,,,,,47.37,,,N,65.25,,,W,,2,,Collector,No reproductive structures seen on specimen,2,,Amelanchier sp.,2011-07-01,2015-07-08,To be identified,shortt,   Accession # 62981,Collector's # 172,00/00/1973/,Gloucester Co.,,,N,W,,"Locality:  Site 80 (=site 7) Allardville, Fire Study. ",Notes:  Amelanchier sp..,Duplicate,47.37,47.37º N ,65.25,65.25º W,,,"Site 80 (=site 7) Allardville, Fire Study",47.37,65.25,,,,,64505,,,,,56985,56985,,
64506,62982,1279,,,UNB,"MacLean, D.A.; Wein, R.W; McKay, W.H.",173,,,1973,,,,Gloucester,New Brunswick,Canada,"Site 80 (=site 7) Allardville, Fire Study",,,,,,,47.37,,,N,65.25,,,W,,2,,Collector,No reproductive structures seen on specimen,2,,Amelanchier sp.,2011-07-01,2015-07-08,,shortt,   Accession # 62982,Collector's # 173,00/00/1973/,Gloucester Co.,,,N,W,,"Locality:  Site 80 (=site 7) Allardville, Fire Study. ",Notes:  Amelanchier sp..,Duplicate,47.37,47.37º N ,65.25,65.25º W,,,"Site 80 (=site 7) Allardville, Fire Study",47.37,65.25,,,,,64506,,,,,56985,56985,,
64515,62991,,,,UNB,"MacLean, D.A.; Wein, R.W; McKay, W.H.",175,,,1973,,,,Gloucester,New Brunswick,Canada,"Site 85 (=site 09) Allardville, Fire Study",,,,,,,47.45,,,N,65.22,,,W,,2,,Collector,No reproductive structures seen on specimen,2,,Salix sp.1962 Burn,2011-07-01,2015-07-08,To be identified,shortt,   Accession # 62991,Collector's # 175,00/00/1973/,Gloucester Co.,,,N,W,,"Locality:  Site 85 (=site 09) Allardville, Fire Study. ",Notes:  Salix sp.1962 Burn.,Duplicate,47.45,47.45º N ,65.22,65.22º W,,,"Site 85 (=site 09) Allardville, Fire Study",47.45,65.22,,,,,64515,,,,,56985,56985,,
64516,62992,,,,UNB,"MacLean, D.A.; Wein, R.W; McKay, W.H.",174,,,1973,,,,Gloucester,New Brunswick,Canada,"Site 85 (=site 09) Allardville, Fire Study",,,,,,,47.45,,,N,65.22,,,W,,2,,Collector,No reproductive structures seen on specimen,2,,Salix sp.1962 Burn,2011-07-01,2015-07-08,To be identified,shortt,   Accession # 62992,Collector's # 174,00/00/1973/,Gloucester Co.,,,N,W,,"Locality:  Site 85 (=site 09) Allardville, Fire Study. ",Notes:  Salix sp.1962 Burn.,Duplicate,47.45,47.45º N ,65.22,65.22º W,,,"Site 85 (=site 09) Allardville, Fire Study",47.45,65.22,,,,,64516,,,,,56985,56985,,
64548,63033,,,carex sp.,UNB,"MacLean, D.A.; Wein, R.W; McKay, W.H.",147,,,1973,,,,Gloucester,New Brunswick,Canada,"Site 70 (=Site 13), Allardville, Fire Study",,,,,,,47.378,,,N,65.335,,,W,,2,,,No reproductive structures seen on specimen,2,,,2011-07-06,2015-07-08,To be identified,shortt,   Accession # 63033,Collector's # 147,00/00/1973/,Gloucester Co.,,,N,W,,"Locality:  Site 70 (=Site 13), Allardville, Fire Study. ",,Duplicate,47.378,47.378º N ,65.335,65.335º W,,,"Site 70 (=Site 13), Allardville, Fire Study",47.378,65.335,,,,,64548,,,,carex sp.,56985,56985,,
64615,63102,,,,UNB,"MacLean, D.A.; Wein, R.W; McKay, W.H.",182,,,1973,,,,Gloucester,New Brunswick,Canada,"Site 87 (=site 21) Allardville, Fire Study",,,,,,,47.526,,,N,65.227,,,W,,2,,,No reproductive structures seen on specimen,2,,,2011-07-07,2015-07-08,To be identified,shortt,   Accession # 63102,Collector's # 182,00/00/1973/,Gloucester Co.,,,N,W,,"Locality:  Site 87 (=site 21) Allardville, Fire Study. ",,Duplicate,47.526,47.526º N ,65.227,65.227º W,,,"Site 87 (=site 21) Allardville, Fire Study",47.526,65.227,,,,,64615,,,,,56985,56985,,
64629,63120,,,Salix sp.,UNB,"MacLean, D.A.; Wein, R.W; McKay, W.H.",186,,,1973,,,,Gloucester,New Brunswick,Canada,"Site 22 (=Site 89) Allardville, Fire Study",,,,,,,47.539,,,N,65.227,,,W,,2,,,No reproductive structures seen on specimen,2,,,2011-07-12,2015-07-08,To be identified,shortt,   Accession # 63120,Collector's # 186,00/00/1973/,Gloucester Co.,,,N,W,,"Locality:  Site 22 (=Site 89) Allardville, Fire Study. ",,Duplicate,47.539,47.539º N ,65.227,65.227º W,,,"Site 22 (=Site 89) Allardville, Fire Study",47.539,65.227,,,,,64629,,,,Salix sp.,56985,56985,,
64630,63121,,,,UNB,"MacLean, D.A.; Wein, R.W; McKay, W.H.",187,,,1973,,,,Gloucester,New Brunswick,Canada,"Site 22 (=Site 89) Allardville, Fire Study",,,,,,,47.539,,,N,65.227,,,W,,2,,,No reproductive structures seen on specimen,2,,,2011-07-12,2015-07-08,To be identified,shortt,   Accession # 63121,Collector's # 187,00/00/1973/,Gloucester Co.,,,N,W,,"Locality:  Site 22 (=Site 89) Allardville, Fire Study. ",,Duplicate,47.539,47.539º N ,65.227,65.227º W,,,"Site 22 (=Site 89) Allardville, Fire Study",47.539,65.227,,,,,64630,,,,,56985,56985,,
64656,63148,,,amelanchier sp,UNB,"MacLean, D.A.; Wein, R.W; McKay, W.H.",137,,,1973,,,,Gloucester,New Brunswick,Canada,"ARDA jP Stand Allardville, Fire Study Site 24 (=44b)",,,,,,,47.604,,,N,65.158,,,W,,2,,,No reproductive structures seen on specimen,2,,,2011-07-14,2015-07-08,To be identified,shortt,   Accession # 63148,Collector's # 137,00/00/1973/,Gloucester Co.,,,N,W,,"Locality:  ARDA jP Stand Allardville, Fire Study Site 24 (=44b). ",,Duplicate,47.604,47.604º N ,65.158,65.158º W,,,"ARDA jP Stand Allardville, Fire Study Site 24 (=44b)",47.604,65.158,,,,,64656,,,,amelanchier sp,56985,56985,,
64657,63149,,,Amelanchier sp.,UNB,"MacLean, D.A.; Wein, R.W; McKay, W.H.",136,,,1973,,,,Gloucester,New Brunswick,Canada,"ARDA jP Stand Allardville, Fire Study Site 24 (=44b)",,,,,,,47.604,,,N,65.158,,,W,,2,,,No reproductive structures seen on specimen,2,,,2011-07-14,2015-07-08,To be identified,shortt,   Accession # 63149,Collector's # 136,00/00/1973/,Gloucester Co.,,,N,W,,"Locality:  ARDA jP Stand Allardville, Fire Study Site 24 (=44b). ",,Duplicate,47.604,47.604º N ,65.158,65.158º W,,,"ARDA jP Stand Allardville, Fire Study Site 24 (=44b)",47.604,65.158,,,,,64657,,,,Amelanchier sp.,56985,56985,,
64659,63150,,,Prunus sp.,UNB,"MacLean, D.A.; Wein, R.W; McKay, W.H.",135,,,1973,,,,Gloucester,New Brunswick,Canada,"ARDA jP Stand Allardville, Fire Study Site 24 (=44b)",,,,,,,47.604,,,N,65.158,,,W,,2,,,No reproductive structures seen on specimen,2,,,2011-07-14,2015-07-08,To be identified,shortt,   Accession # 63150,Collector's # 135,00/00/1973/,Gloucester Co.,,,N,W,,"Locality:  ARDA jP Stand Allardville, Fire Study Site 24 (=44b). ",,Duplicate,47.604,47.604º N ,65.158,65.158º W,,,"ARDA jP Stand Allardville, Fire Study Site 24 (=44b)",47.604,65.158,,,,,64659,,,,Prunus sp.,56985,56985,,
64660,63151,,,Viola sp.,UNB,"MacLean, D.A.; Wein, R.W; McKay, W.H.",134,,,1973,,,,Gloucester,New Brunswick,Canada,"ARDA jP Stand Allardville, Fire Study Site 24 (=44b)",,,,,,,47.604,,,N,65.158,,,W,,2,,,No reproductive structures seen on specimen,2,,,2011-07-14,2015-07-08,To be identified,shortt,   Accession # 63151,Collector's # 134,00/00/1973/,Gloucester Co.,,,N,W,,"Locality:  ARDA jP Stand Allardville, Fire Study Site 24 (=44b). ",,Duplicate,47.604,47.604º N ,65.158,65.158º W,,,"ARDA jP Stand Allardville, Fire Study Site 24 (=44b)",47.604,65.158,,,,,64660,,,,Viola sp.,56985,56985,,
72763,64065,,,,UNB,"Blaney, C.S.; Popma, T.M.",03-133,27,8,2003,,1 m deep water in channel through marsh,Common,Albert,New Brunswick,Canada,"UTM: zone 20 361664E 5062623NGermantown NWA. Beaver Bk Marsh, ~0.9km SE of Beaver Brook bridge on Hwy 114",,,,,,,45,42,12,N,64,46,37,W,,1,,Collector,No reproductive structures seen on specimen,,,,2013-02-12,2015-07-08,,Courtney,   Accession # 64065,Collector's # 03-133,27/8/2003/,Albert Co.,,,N,W,Habitat:  1 m deep water in channel through marsh. ,"Locality:  UTM: zone 20 361664E 5062623NGermantown NWA. Beaver Bk Marsh, ~0.9km SE of Beaver Brook bridge on Hwy 114. ",,Duplicate,45.7033,45.7033º N ,64.7769,64.7769º W,,Abund.:  Common. ,"UTM: zone 20 361664E 5062623NGermantown NWA. Beaver Bk Marsh, ~0.9km SE of Beaver Brook bridge on Hwy 114",45.7033,64.7769,,,,,72763,,,,,56985,56985,,
76374,64251,,,,UNB,Mazerolle D.M.,2090,,,,,,,Northumberland,New Brunswick,Canada,Dungarvon C.= Dungarvon Lake Brook,,,,,,,46,39,36,N,66,15,44,W,,4,,,Specimen is reproductive,,,,2013-10-02,2015-07-08,NEEDS to be IDed,shortt,   Accession # 64251,Collector's # 2090,00/00/00,Northumberland Co.,,,N,W,,Locality:  Dungarvon C.= Dungarvon Lake Brook. ,,Duplicate,46.66,46.66º N ,66.2622,66.2622º W,,,Dungarvon C.= Dungarvon Lake Brook,46.66,66.2622,,,,,76374,,,no,,56985,56985,,0º W 
70941,NA,,,Bryophyte,UNB,C.D. Tyrrell,123,10,8,2009,10 Aug 2009,"Silty-clay substrate. Water depth 40-80 cm, little to no flow",,Morris Rural Municipality,Manitoba,Canada,"Tobacco Creek. Near Provincial Road 332 bridge, 5.5 km N of the intersection with Provincial Trunk Highway 23. ""TCL07""",,,,,,,49,24,17.03,N,97,35,40.7,W,,4,,Collector,,,,239 m,2012-07-26,2015-07-08,"49°24'17.03"" N   97°35'40.70"" W",shortt,   Accession # NA,Collector's # 123,10/8/2009/,Morris Rural Municipality Co.,,,N,W,"Habitat:  Silty-clay substrate. Water depth 40-80 cm, little to no flow. ","Locality:  Tobacco Creek. Near Provincial Road 332 bridge, 5.5 km N of the intersection with Provincial Trunk Highway 23. ""TCL07"". ",Notes:  239 m.,Duplicate,49.4047,49.4047º N ,97.5946,97.5946º W,,,"Tobacco Creek. Near Provincial Road 332 bridge, 5.5 km N of the intersection with Provincial Trunk Highway 23. ""TCL07""",49.4047,97.5946,,,,,70941,,,,Bryophyte,56985,56985,,
70942,NA,,,Bryophyte,UNB,C.D. Tyrrell,123,10,8,2009,10 Aug 2009,"Silty-clay substrate. Water depth 40-80 cm, little to no flow",,Morris Rural Municipality,Manitoba,Canada,"Tobacco Creek. Near Provincial Road 332 bridge, 5.5 km N of the intersection with Provincial Trunk Highway 23. ""TCL07""",,,,,,,49,24,17.03,N,97,35,40.7,W,,4,,Collector,,,,239 m,2012-07-26,2015-07-08,"49°24'17.03"" N   97°35'40.70"" W",shortt,   Accession # NA,Collector's # 123,10/8/2009/,Morris Rural Municipality Co.,,,N,W,"Habitat:  Silty-clay substrate. Water depth 40-80 cm, little to no flow. ","Locality:  Tobacco Creek. Near Provincial Road 332 bridge, 5.5 km N of the intersection with Provincial Trunk Highway 23. ""TCL07"". ",Notes:  239 m.,Duplicate,49.4047,49.4047º N ,97.5946,97.5946º W,,,"Tobacco Creek. Near Provincial Road 332 bridge, 5.5 km N of the intersection with Provincial Trunk Highway 23. ""TCL07""",49.4047,97.5946,,,,,70942,,,,Bryophyte,56985,56985,,
70943,NA,,,Bryophyte,UNB,C.D. Tyrrell,123,10,8,2009,10 Aug 2009,"Silty-clay substrate. Water depth 40-80 cm, little to no flow",,Morris Rural Municipality,Manitoba,Canada,"Tobacco Creek. Near Provincial Road 332 bridge, 5.5 km N of the intersection with Provincial Trunk Highway 23. ""TCL07""",,,,,,,49,24,17.03,N,97,35,40.7,W,,4,,Collector,,,,239 m,2012-07-26,2015-07-08,"49°24'17.03"" N   97°35'40.70"" W",shortt,   Accession # NA,Collector's # 123,10/8/2009/,Morris Rural Municipality Co.,,,N,W,"Habitat:  Silty-clay substrate. Water depth 40-80 cm, little to no flow. ","Locality:  Tobacco Creek. Near Provincial Road 332 bridge, 5.5 km N of the intersection with Provincial Trunk Highway 23. ""TCL07"". ",Notes:  239 m.,Duplicate,49.4047,49.4047º N ,97.5946,97.5946º W,,,"Tobacco Creek. Near Provincial Road 332 bridge, 5.5 km N of the intersection with Provincial Trunk Highway 23. ""TCL07""",49.4047,97.5946,,,,,70943,,,,Bryophyte,56985,56985,,
70953,NA,,,?p natans?,UNB,C.D. Tyrrell,135,10,8,2009,10 Aug 2009,"Silty-clay (compacted) substrate. Water depth 50-100 cm, slow flow",,Morris Rural Municipality,Manitoba,Canada,"Little Morris River. Near local road bridge, 650 m NNE of the confluence with Tobacco Creek, 4.5 km due W of Provincial Road 422. ""TCL08""",,,,,,,49,26,35.68,N,97,31,17.54,W,,4,,Collector,,,,235 m,2012-07-26,2015-07-08,"49° 26' 35.68"" N   97° 31' 17.54"" W",shortt,   Accession # NA,Collector's # 135,10/8/2009/,Morris Rural Municipality Co.,,,N,W,"Habitat:  Silty-clay (compacted) substrate. Water depth 50-100 cm, slow flow. ","Locality:  Little Morris River. Near local road bridge, 650 m NNE of the confluence with Tobacco Creek, 4.5 km due W of Provincial Road 422. ""TCL08"". ",Notes:  235 m.,Duplicate,49.4432,49.4432º N ,97.5215,97.5215º W,,,"Little Morris River. Near local road bridge, 650 m NNE of the confluence with Tobacco Creek, 4.5 km due W of Provincial Road 422. ""TCL08""",49.4432,97.5215,,,,,70953,,,,?p natans?,56985,56985,,
70959,NA,,,Bryophyte,UNB,C.D. Tyrrell,141,11,8,2009,11 Aug 2009,"Silty-clay substrate (boggy site). Water depth 50-100 cm, slow flow",,Piney Local Government District,Manitoba,Canada,"Rat River. Near Provincial Road 210 bridge, 6 km N of the intersection with Provincial Trunk Highway 12. ""RRL03""",,,,,,,49,12,37.22,N,96,8,49.84,W,,4,,Collector,,,,338 m,2012-07-26,2015-07-08,"49°12'37.22"" N   96°08'49.84"" W",shortt,   Accession # NA,Collector's # 141,11/8/2009/,Piney Local Government District Co.,,,N,W,"Habitat:  Silty-clay substrate (boggy site). Water depth 50-100 cm, slow flow. ","Locality:  Rat River. Near Provincial Road 210 bridge, 6 km N of the intersection with Provincial Trunk Highway 12. ""RRL03"". ",Notes:  338 m.,Duplicate,49.2103,49.2103º N ,96.1472,96.1472º W,,,"Rat River. Near Provincial Road 210 bridge, 6 km N of the intersection with Provincial Trunk Highway 12. ""RRL03""",49.2103,96.1472,,,,,70959,,,,Bryophyte,56985,56985,,
70960,NA,,,Bryophyte,UNB,C.D. Tyrrell,141,11,8,2009,11 Aug 2009,"Silty-clay substrate (boggy site). Water depth 50-100 cm, slow flow",,Piney Local Government District,Manitoba,Canada,"Rat River. Near Provincial Road 210 bridge, 6 km N of the intersection with Provincial Trunk Highway 12. ""RRL03""",,,,,,,49,12,37.22,N,96,8,49.84,W,,4,,Collector,,,,338 m,2012-07-26,2015-07-08,"49°12'37.22"" N   96°08'49.84"" W",shortt,   Accession # NA,Collector's # 141,11/8/2009/,Piney Local Government District Co.,,,N,W,"Habitat:  Silty-clay substrate (boggy site). Water depth 50-100 cm, slow flow. ","Locality:  Rat River. Near Provincial Road 210 bridge, 6 km N of the intersection with Provincial Trunk Highway 12. ""RRL03"". ",Notes:  338 m.,Duplicate,49.2103,49.2103º N ,96.1472,96.1472º W,,,"Rat River. Near Provincial Road 210 bridge, 6 km N of the intersection with Provincial Trunk Highway 12. ""RRL03""",49.2103,96.1472,,,,,70960,,,,Bryophyte,56985,56985,,
70961,NA,,,Bryophyte,UNB,C.D. Tyrrell,141,11,8,2009,11 Aug 2009,"Silty-clay substrate (boggy site). Water depth 50-100 cm, slow flow",,Piney Local Government District,Manitoba,Canada,"Rat River. Near Provincial Road 210 bridge, 6 km N of the intersection with Provincial Trunk Highway 12. ""RRL03""",,,,,,,49,12,37.22,N,96,8,49.84,W,,4,,Collector,,,,338 m,2012-07-26,2015-07-08,"49°12'37.22"" N   96°08'49.84"" W",shortt,   Accession # NA,Collector's # 141,11/8/2009/,Piney Local Government District Co.,,,N,W,"Habitat:  Silty-clay substrate (boggy site). Water depth 50-100 cm, slow flow. ","Locality:  Rat River. Near Provincial Road 210 bridge, 6 km N of the intersection with Provincial Trunk Highway 12. ""RRL03"". ",Notes:  338 m.,Duplicate,49.2103,49.2103º N ,96.1472,96.1472º W,,,"Rat River. Near Provincial Road 210 bridge, 6 km N of the intersection with Provincial Trunk Highway 12. ""RRL03""",49.2103,96.1472,,,,,70961,,,,Bryophyte,56985,56985,,
70962,NA,,,Utricularia vulgare,UNB,C.D. Tyrrell,144,11,8,2009,11 Aug 2009,"Sandy substrate mixed with some loam. Water depth 50-100 cm, moderate flow",,Stuartburn Local Government District,Manitoba,Canada,"Rat River. Near Provincial Trunk Highway 12 bridge, 2 km SE of Lonesand. ""RRL04""",,,,,,,49,12,33.63,N,96,17,11.04,W,,4,,Collector,,,,318 m,2012-07-26,2015-07-08,"49°12'33.63"" N   96°17'11.04"" W",shortt,   Accession # NA,Collector's # 144,11/8/2009/,Stuartburn Local Government District Co.,,,N,W,"Habitat:  Sandy substrate mixed with some loam. Water depth 50-100 cm, moderate flow. ","Locality:  Rat River. Near Provincial Trunk Highway 12 bridge, 2 km SE of Lonesand. ""RRL04"". ",Notes:  318 m.,Duplicate,49.2093,49.2093º N ,96.2864,96.2864º W,,,"Rat River. Near Provincial Trunk Highway 12 bridge, 2 km SE of Lonesand. ""RRL04""",49.2093,96.2864,,,,,70962,,,,Utricularia vulgare,56985,56985,,
70963,NA,,,Utricularia vulgare,UNB,C.D. Tyrrell,144,11,8,2009,11 Aug 2009,"Sandy substrate mixed with some loam. Water depth 50-100 cm, moderate flow",,Stuartburn Local Government District,Manitoba,Canada,"Rat River. Near Provincial Trunk Highway 12 bridge, 2 km SE of Lonesand. ""RRL04""",,,,,,,49,12,33.63,N,96,17,11.04,W,,4,,Collector,,,,318 m,2012-07-26,2015-07-08,"49°12'33.63"" N   96°17'11.04"" W",shortt,   Accession # NA,Collector's # 144,11/8/2009/,Stuartburn Local Government District Co.,,,N,W,"Habitat:  Sandy substrate mixed with some loam. Water depth 50-100 cm, moderate flow. ","Locality:  Rat River. Near Provincial Trunk Highway 12 bridge, 2 km SE of Lonesand. ""RRL04"". ",Notes:  318 m.,Duplicate,49.2093,49.2093º N ,96.2864,96.2864º W,,,"Rat River. Near Provincial Trunk Highway 12 bridge, 2 km SE of Lonesand. ""RRL04""",49.2093,96.2864,,,,,70963,,,,Utricularia vulgare,56985,56985,,
70970,NA,,,?,UNB,C.D. Tyrrell,152,11,8,2009,11 Aug 2009,"Sandy substrate mixed with some loam. Water depth 50-100 cm, moderate flow",,Stuartburn Local Government District,Manitoba,Canada,"Rat River. Near Provincial Trunk Highway 12 bridge, 2 km SE of Lonesand. ""RRL04""",,,,,,,49,12,33.63,N,96,17,11.04,W,,4,,Collector,,,,318 m,2012-07-26,2015-07-08,"49°12'33.63"" N   96°17'11.04"" W",shortt,   Accession # NA,Collector's # 152,11/8/2009/,Stuartburn Local Government District Co.,,,N,W,"Habitat:  Sandy substrate mixed with some loam. Water depth 50-100 cm, moderate flow. ","Locality:  Rat River. Near Provincial Trunk Highway 12 bridge, 2 km SE of Lonesand. ""RRL04"". ",Notes:  318 m.,Duplicate,49.2093,49.2093º N ,96.2864,96.2864º W,,,"Rat River. Near Provincial Trunk Highway 12 bridge, 2 km SE of Lonesand. ""RRL04""",49.2093,96.2864,,,,,70970,,,,?,56985,56985,,
70971,NA,,,Ranunculus ?cymbalaria?,UNB,C.D. Tyrrell,153,11,8,2009,11 Aug 2009,"Sandy substrate mixed with some loam. Water depth 50-100 cm, moderate flow",,Stuartburn Local Government District,Manitoba,Canada,"Rat River. Near Provincial Trunk Highway 12 bridge, 2 km SE of Lonesand. ""RRL04""",,,,,,,49,12,33.63,N,96,17,11.04,W,,4,,Collector,,,,318 m,2012-07-26,2015-07-08,"49°12'33.63"" N   96°17'11.04"" W",shortt,   Accession # NA,Collector's # 153,11/8/2009/,Stuartburn Local Government District Co.,,,N,W,"Habitat:  Sandy substrate mixed with some loam. Water depth 50-100 cm, moderate flow. ","Locality:  Rat River. Near Provincial Trunk Highway 12 bridge, 2 km SE of Lonesand. ""RRL04"". ",Notes:  318 m.,Duplicate,49.2093,49.2093º N ,96.2864,96.2864º W,,,"Rat River. Near Provincial Trunk Highway 12 bridge, 2 km SE of Lonesand. ""RRL04""",49.2093,96.2864,,,,,70971,,,,Ranunculus ?cymbalaria?,56985,56985,,
70978,NA,,,Bryophyte1,UNB,C.D. Tyrrell,160,11,8,2009,11 Aug 2009,"Sandy-gravel substrate. Water depth ca 50 cm, moderate flow",,Stuartburn Local Government District,Manitoba,Canada,"Rat River. Near large culvert under local road, 6.5 km due E of Provincial Road 302, 11.4 km NNW of Vita. ""RRL05""",,,,,,,49,13,59.23,N,96,35,59.77,W,,4,,Collector,,,,296 m,2012-07-26,2015-07-08,"49°13'59.23"" N   96°35'59.77"" W",shortt,   Accession # NA,Collector's # 160,11/8/2009/,Stuartburn Local Government District Co.,,,N,W,"Habitat:  Sandy-gravel substrate. Water depth ca 50 cm, moderate flow. ","Locality:  Rat River. Near large culvert under local road, 6.5 km due E of Provincial Road 302, 11.4 km NNW of Vita. ""RRL05"". ",Notes:  296 m.,Duplicate,49.2331,49.2331º N ,96.5999,96.5999º W,,,"Rat River. Near large culvert under local road, 6.5 km due E of Provincial Road 302, 11.4 km NNW of Vita. ""RRL05""",49.2331,96.5999,,,,,70978,,,,Bryophyte1,56985,56985,,
70979,NA,,,Bryophyte2,UNB,C.D. Tyrrell,161,11,8,2009,11 Aug 2009,"Sandy-gravel substrate. Water depth ca 50 cm, moderate flow",,Stuartburn Local Government District,Manitoba,Canada,"Rat River. Near large culvert under local road, 6.5 km due E of Provincial Road 302, 11.4 km NNW of Vita. ""RRL05""",,,,,,,49,13,59.23,N,96,35,59.77,W,,4,,Collector,,,,296 m,2012-07-26,2015-07-08,"49°13'59.23"" N   96°35'59.77"" W",shortt,   Accession # NA,Collector's # 161,11/8/2009/,Stuartburn Local Government District Co.,,,N,W,"Habitat:  Sandy-gravel substrate. Water depth ca 50 cm, moderate flow. ","Locality:  Rat River. Near large culvert under local road, 6.5 km due E of Provincial Road 302, 11.4 km NNW of Vita. ""RRL05"". ",Notes:  296 m.,Duplicate,49.2331,49.2331º N ,96.5999,96.5999º W,,,"Rat River. Near large culvert under local road, 6.5 km due E of Provincial Road 302, 11.4 km NNW of Vita. ""RRL05""",49.2331,96.5999,,,,,70979,,,,Bryophyte2,56985,56985,,
70980,NA,,,Bryophyte2,UNB,C.D. Tyrrell,161,11,8,2009,11 Aug 2009,"Sandy-gravel substrate. Water depth ca 50 cm, moderate flow",,Stuartburn Local Government District,Manitoba,Canada,"Rat River. Near large culvert under local road, 6.5 km due E of Provincial Road 302, 11.4 km NNW of Vita. ""RRL05""",,,,,,,49,13,59.23,N,96,35,59.77,W,,4,,Collector,,,,296 m,2012-07-26,2015-07-08,"49°13'59.23"" N   96°35'59.77"" W",shortt,   Accession # NA,Collector's # 161,11/8/2009/,Stuartburn Local Government District Co.,,,N,W,"Habitat:  Sandy-gravel substrate. Water depth ca 50 cm, moderate flow. ","Locality:  Rat River. Near large culvert under local road, 6.5 km due E of Provincial Road 302, 11.4 km NNW of Vita. ""RRL05"". ",Notes:  296 m.,Duplicate,49.2331,49.2331º N ,96.5999,96.5999º W,,,"Rat River. Near large culvert under local road, 6.5 km due E of Provincial Road 302, 11.4 km NNW of Vita. ""RRL05""",49.2331,96.5999,,,,,70980,,,,Bryophyte2,56985,56985,,
70981,NA,,,Bryophyte2,UNB,C.D. Tyrrell,161,11,8,2009,11 Aug 2009,"Sandy-gravel substrate. Water depth ca 50 cm, moderate flow",,Stuartburn Local Government District,Manitoba,Canada,"Rat River. Near large culvert under local road, 6.5 km due E of Provincial Road 302, 11.4 km NNW of Vita. ""RRL05""",,,,,,,49,13,59.23,N,96,35,59.77,W,,4,,Collector,,,,296 m,2012-07-26,2015-07-08,"49°13'59.23"" N   96°35'59.77"" W",shortt,   Accession # NA,Collector's # 161,11/8/2009/,Stuartburn Local Government District Co.,,,N,W,"Habitat:  Sandy-gravel substrate. Water depth ca 50 cm, moderate flow. ","Locality:  Rat River. Near large culvert under local road, 6.5 km due E of Provincial Road 302, 11.4 km NNW of Vita. ""RRL05"". ",Notes:  296 m.,Duplicate,49.2331,49.2331º N ,96.5999,96.5999º W,,,"Rat River. Near large culvert under local road, 6.5 km due E of Provincial Road 302, 11.4 km NNW of Vita. ""RRL05""",49.2331,96.5999,,,,,70981,,,,Bryophyte2,56985,56985,,
70982,NA,,,hippuris ?,UNB,C.D. Tyrrell,164,11,8,2009,11 Aug 2009,"Sandy-gravel substrate. Water depth ca 50 cm, moderate flow",,Stuartburn Local Government District,Manitoba,Canada,"Rat River. Near large culvert under local road, 6.5 km due E of Provincial Road 302, 11.4 km NNW of Vita. ""RRL05""",,,,,,,49,13,59.23,N,96,35,59.77,W,,4,,Collector,,,,296 m,2012-07-26,2015-07-08,"49°13'59.23"" N   96°35'59.77"" W",shortt,   Accession # NA,Collector's # 164,11/8/2009/,Stuartburn Local Government District Co.,,,N,W,"Habitat:  Sandy-gravel substrate. Water depth ca 50 cm, moderate flow. ","Locality:  Rat River. Near large culvert under local road, 6.5 km due E of Provincial Road 302, 11.4 km NNW of Vita. ""RRL05"". ",Notes:  296 m.,Duplicate,49.2331,49.2331º N ,96.5999,96.5999º W,,,"Rat River. Near large culvert under local road, 6.5 km due E of Provincial Road 302, 11.4 km NNW of Vita. ""RRL05""",49.2331,96.5999,,,,,70982,,,,hippuris ?,56985,56985,,
